SMILES,Name,InChI,Formula,MW,LogP,pKd,Structure,Synthesize,Chemical,SA_Score,SA_Score_Binary
Oc1cc(/C(=C/C)/c2cnoc2C(=O)N)cc2c1SCCC2,17/000000045,"InChI=1S/C16H16N2O3S/c1-2-11(12-8-18-21-14(12)16(17)20)10-6-9-4-3-5-22-15(9)13(19)7-10/h2,6-8,19H,3-5H2,1H3,(H2,17,20)/b11-2-",C16H16N2O3S,316,2.72,4.03,-6.84,22.7,-160,3.434777699618518,1
NC[C@](C/C=C/c1n[nH]cn1)([NH3+])C=C,29/000000041,"InChI=1S/C9H15N5/c1-2-9(11,6-10)5-3-4-8-12-7-13-14-8/h2-4,7H,1,5-6,10-11H2,(H,12,13,14)/p+1/b4-3+/t9-/m0/s1",C9H16N5,194,-0.23,4.03,0.55,2.22,-150,5.3695055501026205,1
Oc1cc(c(cc1O)C=C)C/C=C/C[C@H]1C[NH2+]CC[NH2+]1,28/000000113,"InChI=1S/C16H22N2O2/c1-2-12-9-15(19)16(20)10-13(12)5-3-4-6-14-11-17-7-8-18-14/h2-4,9-10,14,17-20H,1,5-8,11H2/p+2/b4-3+/t14-/m0/s1",C16H24N2O2,276,1.58,4.03,-7.23,3.58,-170,5.244892550521322,1
Oc1cc(c(cc1O)C=C)C(=S)[C@@H]1ON=C(C1)CC#CC,28/000000530,"InChI=1S/C16H15NO3S/c1-3-5-6-11-8-15(20-17-11)16(21)12-9-14(19)13(18)7-10(12)4-2/h4,7,9,15,18-19H,2,6,8H2,1H3/t15-/m1/s1",C16H15NO3S,301,2.5,4.03,-6.6,22.9,-190,4.245679582598212,1
OCc1cc(O)c2c(c1N=O)CCCS2,17/000000052,"InChI=1S/C10H11NO3S/c12-5-6-4-8(13)10-7(9(6)11-14)2-1-3-15-10/h4,12-13H,1-3,5H2",C10H11NO3S,225,1.23,4.03,-6.49,14.3,-120,3.4570528990236964,1
Oc1c(O)cc(c(c1)C/C=C/CC(=O)CCCBr)C=C,28/000000625,"InChI=1S/C16H19BrO3/c1-2-12-10-15(19)16(20)11-13(12)6-3-4-7-14(18)8-5-9-17/h2-4,10-11,19-20H,1,5-9H2/b4-3+",C16H19O3Br,339,3.46,4.02,-8.88,3.58,-40,3.2418299212655644,1
Oc1c(Cl)cc(cc1Cl)CC(=O)OCc1cn[nH]c(=O)c1,19/000000012,"InChI=1S/C13H10Cl2N2O4/c14-9-1-7(2-10(15)13(9)20)4-12(19)21-6-8-3-11(18)17-16-5-8/h1-3,5,20H,4,6H2,(H,17,18)",C13H10N2O4Cl2,328,2.52,4.02,-0.39,4.81,0,2.542324787540922,1
N(CC1CCCC1)OCc1sc(nc1)NCBr,19/000000056,"InChI=1S/C11H18BrN3OS/c12-8-14-11-13-6-10(17-11)7-16-15-5-9-3-1-2-4-9/h6,9,15H,1-5,7-8H2,(H,13,14)",C11H18N3OSBr,320,2.12,4.02,2.28,3.58,-150,3.2619785818405553,1
Oc1ccc(cc1O)C(=C)[C@H](C1=NCON1)F,28/000000364,"InChI=1S/C11H11FN2O3/c1-6(10(12)11-13-5-17-14-11)7-2-3-8(15)9(16)4-7/h2-4,10,15-16H,1,5H2,(H,13,14)/t10-/m1/s1",C11H11N2O3F,238,1.58,4.02,-6.93,2.22,-170,4.144888474363842,1
Oc1ccc(c(c1O)c1snnc1)C=C,28/000000027,"InChI=1S/C10H8N2O2S/c1-2-6-3-4-7(13)10(14)9(6)8-5-11-12-15-8/h2-5,13-14H,1H2",C10H8N2O2S,220,2.71,4.02,-7.75,3.58,-160,3.1727649869357855,1
Oc1cc(c(cc1O)C=C)[C@H](/C=C/CC(=O)C)F,28/000000437,"InChI=1S/C14H15FO3/c1-3-10-7-13(17)14(18)8-11(10)12(15)6-4-5-9(2)16/h3-4,6-8,12,17-18H,1,5H2,2H3/b6-4+/t12-/m0/s1",C14H15O3F,250,2.22,4.02,-7.85,16.5,-190,3.842845419988196,1
Oc1cc(c(cc1O)C=C)C/C=C\CCNC,28/000000297,"InChI=1S/C14H19NO2/c1-3-11-9-13(16)14(17)10-12(11)7-5-4-6-8-15-2/h3-5,9-10,15-17H,1,6-8H2,2H3/b5-4-",C14H19NO2,233,2.14,4.02,-7.88,2.22,-60,3.08528622177509,1
OC(=O)[C@H](CN)c1nncs1,5/000000002,"InChI=1S/C5H7N3O2S/c6-1-3(5(9)10)4-8-7-2-11-4/h2-3H,1,6H2,(H,9,10)/t3-/m1/s1",C5H7N3O2S,173,-0.24,4.01,5.85,2.22,-150,3.6067418687550497,1
Oc1c(O)cc(c(c1)C=C)[C@H](CNCO)F,28/000000063,"InChI=1S/C11H14FNO3/c1-2-7-3-10(15)11(16)4-8(7)9(12)5-13-6-14/h2-4,9,13-16H,1,5-6H2/t9-/m0/s1",C11H14NO3F,227,0.96,4.01,-6.06,14.1,-150,3.8124393816880833,1
